id,name,sequence
tax_group_25,PDV 25%,1
tax_group_13,PDV 13%,2
tax_group_5,PDV 5%,3
tax_group_eu,EU 0%,4
tax_group_ino,INO 0%,5
tax_group_osl,OSL 0%,6
tax_group_combo,COMBO,7
tax_group_nema,NEMA,9

