"id","chart_template_id/id","code_prefix_start","code_prefix_end","name"
"kp_rrif_acc_group_059","l10n_hr_coa_rrif_2015_template","0591","0599","059 - Akumulirana amortizacija ulaganja u građevine"
"kp_rrif_acc_group_06","l10n_hr_coa_rrif_2015_template","061","069","06 - DUGOTRAJNA FINANCIJSKA IMOVINA (s povratom dužim od jedne godine)"
"kp_rrif_acc_group_060","l10n_hr_coa_rrif_2015_template","0601","0609","060 - Udjeli (dionice) kod povezanih poduzetnika (s više od 20% udjela)"
"kp_rrif_acc_group_061","l10n_hr_coa_rrif_2015_template","0611","0619","061 - Dani zajmovi povezanim poduzetnicima (analitika po društvima u kojima se ima više od 20% udjela)"
"kp_rrif_acc_group_062","l10n_hr_coa_rrif_2015_template","0621","0629","062 - Sudjelujući interesi (udjeli)"
"kp_rrif_acc_group_063","l10n_hr_coa_rrif_2015_template","0631","0639","063 - Zajmovi dani poduzetnicima u kojima postoje sudjelujući interesi (do 20% udjela u T.K.)"
"kp_rrif_acc_group_064","l10n_hr_coa_rrif_2015_template","0641","0649","064 - Ulaganja u vrijednosne papire (dugotrajne)"
"kp_rrif_acc_group_065","l10n_hr_coa_rrif_2015_template","0651","0659","065 - Dani zajmovi, depoziti i sl."
"kp_rrif_acc_group_0650","l10n_hr_coa_rrif_2015_template","06501","06509","0650 - Dani dugotrajni zajmovi"
"kp_rrif_acc_group_0651","l10n_hr_coa_rrif_2015_template","06511","06519","0651 - Depoziti dugotrajni"
"kp_rrif_acc_group_0652","l10n_hr_coa_rrif_2015_template","06521","06529","0652 - Kaucije i kapare"
"kp_rrif_acc_group_066","l10n_hr_coa_rrif_2015_template","0661","0669","066 - Ulaganja koja se obračunavaju metodom udjela"
"kp_rrif_acc_group_067","l10n_hr_coa_rrif_2015_template","0671","0679","067 - Ostala dugotrajna financijska imovina"
"kp_rrif_acc_group_068","l10n_hr_coa_rrif_2015_template","0681","0689","068 - Vrijednosno usklađenje financijske imovine - dugotrajne (analitika prema oblicima imovine u usklađenju)"
"kp_rrif_acc_group_069","l10n_hr_coa_rrif_2015_template","0691","0699","069 - Nezarađene kamate u kreditima i sl."
"kp_rrif_acc_group_07","l10n_hr_coa_rrif_2015_template","071","079","07 - POTRAŽIVANJA (dulja od jedne godine)"
"kp_rrif_acc_group_070","l10n_hr_coa_rrif_2015_template","0701","0709","070 - Potraživanja od povezanih poduzetnika"
"kp_rrif_acc_group_071","l10n_hr_coa_rrif_2015_template","0711","0719","071 - Potraživanja s osnove prodaje na kredit"
"kp_rrif_acc_group_072","l10n_hr_coa_rrif_2015_template","0721","0729","072 - Potraživanja iz faktoringa"
"kp_rrif_acc_group_073","l10n_hr_coa_rrif_2015_template","0731","0739","073 - Potraživanja za jamčevine"
"kp_rrif_acc_group_074","l10n_hr_coa_rrif_2015_template","0741","0749","074 - Potraživanja u sporu i rizična potraživanja"
"kp_rrif_acc_group_075","l10n_hr_coa_rrif_2015_template","0751","0759","075 - Potraživanja za predujmove za usluge"
"kp_rrif_acc_group_076","l10n_hr_coa_rrif_2015_template","0761","0769","076 - Ostala potraživanja - dugotrajna"
"kp_rrif_acc_group_078","l10n_hr_coa_rrif_2015_template","0781","0789","078 - Vrijednosno usklađivanje dugotrajnih potraživanja"
"kp_rrif_acc_group_079","l10n_hr_coa_rrif_2015_template","0791","0799","079 - Potraživanja za nezarađenu kamatu"
"kp_rrif_acc_group_08","l10n_hr_coa_rrif_2015_template","081","089","08 - ODGOĐENA POREZNA IMOVINA"
"kp_rrif_acc_group_080","l10n_hr_coa_rrif_2015_template","0801","0809","080 - Odgođena privremena razlika poreza na dobitak (analitika po godinama)"
"kp_rrif_acc_group_081","l10n_hr_coa_rrif_2015_template","0811","0819","081 - Ostala odgođena porezna imovina"
"kp_rrif_acc_group_1","l10n_hr_coa_rrif_2015_template","11","19","1 - NOVAC, KRATKOTRAJNA FINANCIJSKA IMOVINA, KRATKOTRAJNA POTRAŽIVANJA, TROŠKOVI I PRIHOD BUDUĆEG RAZDOBLJA"
"kp_rrif_acc_group_10","l10n_hr_coa_rrif_2015_template","101","109","10 - NOVAC U BANKAMA I BLAGAJNAMA"
"kp_rrif_acc_group_100","l10n_hr_coa_rrif_2015_template","1001","1009","100 - Transakcijski računi u bankama"
"kp_rrif_acc_group_101","l10n_hr_coa_rrif_2015_template","1011","1019","101 - Otvoreni akreditiv u domaćoj banci"
"kp_rrif_acc_group_102","l10n_hr_coa_rrif_2015_template","1021","1029","102 - Blagajne"
"kp_rrif_acc_group_103","l10n_hr_coa_rrif_2015_template","1031","1039","103 - Devizni računi"
